date,symbol,kind,break_type,detail,amount_usd,seeded,material
2019-07-10,TEVA,borrow_fee,notional_break,"PB notional 15,381,333 vs book 15,069,439 (x1.0207)",-2.9291530962867967,stale_mark,True
2019-07-10,TROX,short_rebate,missing_in_pb,"book 971.45, no PB line",971.4516073865414,,True
2019-07-17,PRGO,short_rebate,missing_in_pb,"book 1072.88, no PB line",1072.884983008146,,True
2019-08-01,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002774,0.6915456138563627,stale_fee_rate,True
2019-08-02,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002774,0.6879724679907611,stale_fee_rate,True
2019-08-05,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002772,0.5853680721933188,stale_fee_rate,True
2019-08-06,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002770,0.5128664345602374,stale_fee_rate,True
2019-08-07,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002770,0.5115959261768523,stale_fee_rate,True
2019-08-08,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002773,0.649794324825848,stale_fee_rate,True
2019-08-09,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002768,0.41233336024737355,stale_fee_rate,False
2019-08-12,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002771,0.5510185595877175,stale_fee_rate,True
2019-08-13,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002824,2.580714356467638,stale_fee_rate,True
2019-08-14,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002826,2.477705653332933,stale_fee_rate,True
2019-08-14,GT,borrow_fee,notional_break,"PB notional 13,671,524 vs book 12,948,951 (x1.0558)",-6.830946370760714,stale_mark,True
2019-08-15,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002832,2.6400799117987503,stale_fee_rate,True
2019-08-15,HAL,borrow_fee,notional_break,"PB notional 12,550,060 vs book 12,495,286 (x1.0044)",-0.44851615966275915,stale_mark,False
2019-08-16,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002828,2.583003280832756,stale_fee_rate,True
2019-08-16,SLS,short_rebate,missing_in_pb,"book 876.92, no PB line",876.9187365814171,,True
2019-08-19,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002824,2.5175391169370016,stale_fee_rate,True
2019-08-20,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002826,2.6020979950480694,stale_fee_rate,True
2019-08-20,EQT,borrow_fee,notional_break,"PB notional 13,131,589 vs book 12,808,510 (x1.0252)",-3.2375974497609263,stale_mark,True
2019-08-21,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002810,2.006702787648294,stale_fee_rate,True
2019-08-22,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002818,2.2705886766856196,stale_fee_rate,True
2019-08-23,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002826,2.414960781368322,stale_fee_rate,True
2019-08-26,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002826,2.4027076837582797,stale_fee_rate,True
2019-08-27,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002824,2.308735886666355,stale_fee_rate,True
2019-08-28,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002796,1.3936926368448042,stale_fee_rate,True
2019-08-29,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002802,1.6477375867538058,stale_fee_rate,True
2019-08-30,DVN,borrow_fee,rate_break,PB rate 0.002757 vs book 0.002802,2.2781463268237303,stale_fee_rate,True
2019-09-03,DCH,borrow_fee,notional_break,"PB notional 18,175,858 vs book 17,229,796 (x1.0549)",-18.726564510720607,stale_mark,True
2019-09-09,NOV,short_rebate,missing_in_pb,"book 1261.22, no PB line",1261.2188251981204,,True
2019-09-11,PGEN,short_rebate,missing_in_pb,"book 1171.16, no PB line",1171.1601504544585,,True
2019-09-20,APA,borrow_fee,notional_break,"PB notional 21,706,542 vs book 21,740,247 (x0.9984)",0.806006841011822,stale_mark,True
2019-09-25,NWL,short_rebate,missing_in_pb,"book 1041.34, no PB line",1041.3403999579252,,True
2019-09-26,APA,borrow_fee,notional_break,"PB notional 21,504,307 vs book 21,293,646 (x1.0099)",-5.104270494960815,stale_mark,True
2019-09-27,PTEN,borrow_fee,notional_break,"PB notional 18,764,211 vs book 18,133,834 (x1.0348)",-10.510618713347128,stale_mark,True
